ID,SCENARIO,DIALOG,YES,NO,EXIT,CREW MORALE,SHIP STRENGTH,INTEL
,,Crew lands on a planet to discover a race of minature talking bear like aliens,,,,,,
,,Ship picks up stranded aliens hitch hiking aliens,,,,,,
,,Crew hears the siren calls over the ships communication,,,,,,
,,"Crew is affected by sirens call is pulled towards a a meteor belt surrounding <alien planet, Sirenum Scopuli> ",,,,,,
,,Unde the spells of the sirens the crew lands on the Siren's planet only to be held hostage for reproductive purposes,,,,,,
,,"Galatic Alliance Admiral Harrington, one with little man symdrome, boards the ship to assess your leadership of USS Radford",,,,,,
,,"Admiral Harrinngton has a hate on for you becasue of your past antics in the academy, he wants to transfer you a desolate Galatic Alliance (GA) outpost",,,,,,
,,You discover that Admiral Harrington is secretly working or Aldrick Von Monako,,,,,,
,,"Captain receives help from a supreme being <similar to athena> to go and slay three sisters, Medusa, Euryale, Stheno that is terrorizing the citizens of <alien planet>",,,,,,
,,"In search of space jump energy source, captain leads crew to planet in <Star System> only to find a planet covered in thick man eating vegation ",,,,,,
,,,,,,,,
,,,,,,,,
,,Crew notices the dates the date of how long the people in the hiberation chamber are from 300 years ago,,,,,,
,,"Doctor opens one of the hiberation chambers and to his horrified eyes, he notices that its the captain. ",,,,,,
,,"A new ensign named <Manchanda> has been transfered onto the ship, it was a favor for the Fleet Admiral <Bhushan>",,,,,,
,,"New ensign causes nothing but trouble on the ship, annoying other crew members with his brown nosing and pertpetuating non stop meetings about nothing",,,,,,
,,Extra Extra read all all about it - GAF passses new rule to increase more alien diversity and inclusion,,,,,,
,,Captain has to make a decision to promote an under qualified alien ,,,,,,
,,"You receive an intergalatic message from someone claiming to have information of Aldrick Von Monoko, do you open it <phishing scam>",,,,,,
,,"You open the message and it is a phishing message, you just infected the ships computer system with a virus",,,,,,
,,"Due to increase in operating cost of managing the entire fleet, GAF is asked you to layoff a few of your crew. Neptune Directive. ",,,,,,
,,"You choose to layoff the several of your crew, you keep your job but crew morale dropped. GAF termed it Building Our Expedition Future ",,,,,,
,,To boost morale you order a shipment of these new cool uniforms that say I Heart Space,,,,,,
,,You set a course towards <starsystem#> after recieving intel that Aldrick Von Monako is gathering <scientific resource name> for a rumour Super Duper Weapon that can wipe out entire civilizations,,,,,,
,,Once arriving at the planet you are greeted by the a big fleet of AVM Chronies guarding the planet. ,,,,,,
,,,,,,,,
,,,,,,,,
,,"Another furball creature scenario is that they multiple and turn into flesh eating creatures ""Gremlins"" when they eat past midnight!",,,,,,
